severity,category,file,line,symbol,status,reason,owner_system,fix_direction,test_name
P0,Account boundary bypass,app/src/main/java/com/nexio/tv/data/trakt/outbox/TraktMutationOutboxModels.kt,26,TraktMutationEnvelope,fixed,provider and credentialHash are persisted and validated,IntegrationRuntime Account scope,account-scoped envelope and validator,ProviderMutationEnvelopeAccountScopeTest
P0,CW/profile bypass,app/src/main/java/com/nexio/tv/data/repository/WatchProgressRepositoryImpl.kt,318,accountSessionFor,fixed,remote mutation envelopes use captured ActiveProfileSession account scope,ProfileBoundaryEnforcer,explicit profile/session API and account session derivation,WatchProgressRepositoryProviderRoutingTest
P0,Identity bypass,app/src/main/java/com/nexio/tv/ui/screens/detail/MetaDetailsViewModel.kt,1107,resolvedDetail provider IDs,fixed,detail enrichment uses resolved provider IDs and no UI person/company TMDB bridge,StableIdBundleResolver,use resolved provider IDs,NoDetailUiTmdbEnsureIdArchitectureTest
P1,Metadata authority bypass,app/src/main/java/com/nexio/tv/core/metadata/router/ProviderPlanExecutor.kt,240,kitsuSteps,fixed,Kitsu cast/staff/production/relationship/review secondary work is in provider plan,MetadataRouter + ProviderPlanRunner,provider-plan secondary steps,MetaDetailsKitsuAdvancedMetadataTest
P1,Field merge bypass,app/src/main/java/com/nexio/tv/data/repository/MetadataDisplayRepository.kt,78,resolveDetailDisplay,fixed,detail consumes ResolvedDetailDisplayDocument,ResolverOrchestrator + FieldResolver,resolved document migration,MetaDetailsResolvedDocumentTest
P1,Field merge bypass,app/src/main/java/com/nexio/tv/ui/screens/home/HomeViewModelCatalogPipeline.kt,484,publishResolvedItems,fixed,home publishes resolved display to surface repository,ResolvedDisplaySurfaceRepository,do not mutate MetaPreview with provider fields,HomeResolvedSurfacePublishingTest
P1,Rating bypass,app/src/main/java/com/nexio/tv/data/repository/DetailRatingDisplayRepository.kt,76,resolveTitleRating,fixed,rating candidates selected by RatingResolver,RatingResolver,centralize title and episode rating selection,RatingResolverTest
P1,Trailer bypass,app/src/main/java/com/nexio/tv/core/metadata/router/resolver/TrailerResolver.kt,74,resolveTrailer,fixed,trailer selected as typed playback ref,TrailerResolver,TrailerService transport only,TrailerResolverPlaybackTest
P1,Skip bypass,app/src/main/java/com/nexio/tv/ui/screens/player/PlayerRuntimeControllerObservers.kt,475,resolveSkipSegments,fixed,player calls SkipSegmentResolver,SkipSegmentResolver,repository adapter/cache only,SkipSegmentResolverTest
P1,Artwork bypass,app/src/main/java/com/nexio/tv/ui/screens/home/ModernHomeHero.kt,91,toLegacyArtworkCoilModelOrNull,fixed,home hero and carousel Coil requests receive safe artwork projection models,ArtworkRouter + ArtworkAssetRepository,typed refs or safe models to Coil,RawRemoteArtworkUrlBoundaryTest
P1,Localization bypass,app/src/main/java/com/nexio/tv/data/integration/metadata/LocalizationResolver.kt,5,LocalizationResolver,fixed,cross-provider fallback removed from ViewModel and preview display fallback,LocalizationResolver,provider-language policy selection,LocalizationResolverPolicyTest
P2,Screensaver bypass,app/src/main/java/com/nexio/tv/ui/screensaver/IdleScreensaverModels.kt,48,IdleTrailerScreensaverCandidate,fixed,legacy string candidate fields removed,ResolvedDisplaySurfaceRepository,typed artwork and trailer refs,IdleTrailerScreensaverSessionTest
Info,Trailer bypass,app/src/main/java/com/nexio/tv/MainActivity.kt,910,resolveIdleTrailerScreensaverPlaybackSource,approved boundary,TrailerResolver selects the playback ref before TrailerService transport resolves the playable source,TrailerResolver + TrailerService transport,keep transport-only boundary documented,TrailerResolverPlaybackTest
Info,Trailer bypass,app/src/main/java/com/nexio/tv/MainActivity.kt,1103,resolveIdleTrailerScreensaverPlaybackSource,approved boundary,overlay uses the same resolver-first transport helper and does not construct YouTube URLs,TrailerResolver + TrailerService transport,keep transport-only boundary documented,ScreensaverTrailerPlaybackUsesResolvedTrailerRefsTest
Info,Metadata authority bypass,app/src/main/java/com/nexio/tv/data/integration/metadata/MetadataSecondaryRepository.kt,18,MetadataSecondaryRepository,approved boundary,low-level provider secondary adapter used by ProviderPlanRunner adapters only,MetadataRouter + ProviderPlanRunner,do not call from UI facade or ViewModels,NoMetadataSecondaryRepositoryFromUiFacadeTest
Info,Artwork bypass,app/src/main/java/com/nexio/tv/core/artwork/ArtworkLegacyProjection.kt,7,ArtworkLegacyProjection,false positive,emits safe internal projections or safe fetcher models,ArtworkAssetRepository,final compatibility projection only,RawRemoteArtworkUrlBoundaryTest
Info,Identity bypass,app/src/main/java/com/nexio/tv/core/integration/RailMediaIdentityResolver.kt,26,RailMediaIdentityResolver,temporary compatibility path,cache-key adapter only with expiration,StableIdBundleResolver,remove after rail previews carry StableIdBundle,RailMediaIdentityResolverIsAllowlistedOrMigratedTest
